Laeloria,2021-05-02,google-hangouts,i see
CNsquared,2022-12-26,google-hangouts,actuallyt damnit i have to set it up again cause i didnt filter out the bots
CNsquared,2022-12-26,google-hangouts,shut up
CNsquared,2022-12-26,google-hangouts,https://ptb.discord.com/channels/401215339041652759/660042147189358602/1056744426912882758
CNsquared,2022-12-26,google-hangouts,aarons idea lol
KnEx,2022-12-26,google-hangouts,oh that sounds fun
Laeloria,2022-12-25,google-hangouts,oh i remember the top conversation
its_ash,2022-12-25,google-hangouts,well ig its 2/3s way there
CNsquared,2022-12-25,google-hangouts,oh look its at the sd trip
CNsquared,2022-12-25,google-hangouts,
its_ash,2022-12-25,google-hangouts,but theres more than 3.3k messages
CNsquared,2022-12-25,google-hangouts,shall remove that for uh the next learning cycle
CNsquared,2022-12-25,google-hangouts,just this channel
its_ash,2022-12-25,google-hangouts,ok
bellebuddy,2022-12-25,google-hangouts,LMAO
its_ash,2022-12-25,google-hangouts,is it processing just this channel or all of them?
bellebuddy,2022-12-25,google-hangouts,Can it like stop telling us it’s processing every 100 messages
its_ash,2022-12-25,google-hangouts,uh huh
CNsquared,2022-12-25,google-hangouts,confident
CNsquared,2022-12-25,google-hangouts,when it feels
CNsquared,2022-12-25,google-hangouts,give input
CNsquared,2022-12-25,google-hangouts,yeah itll just like
its_ash,2022-12-25,google-hangouts,?
its_ash,2022-12-25,google-hangouts,is that the point>
CNsquared,2022-12-25,google-hangouts,its working
its_ash,2022-12-25,google-hangouts,is it just gonna like say stuff when we say stuff>
CNsquared,2022-12-25,google-hangouts,so
CNsquared,2022-12-25,google-hangouts,i said hi to it earlier and it responded wiht MANS A BITCH
CNsquared,2022-12-25,google-hangouts,probs a little
CNsquared,2022-12-25,google-hangouts,so
CNsquared,2022-12-25,google-hangouts,itll be a mix of us
CNsquared,2022-12-25,google-hangouts,depends
KnEx,2022-12-25,google-hangouts,will it start making sus jokes as well
its_ash,2022-12-25,google-hangouts,stop it
its_ash,2022-12-25,google-hangouts,no
CNsquared,2022-12-25,google-hangouts,about us
CNsquared,2022-12-25,google-hangouts,to learn
KnEx,2022-12-25,google-hangouts,why is it processing all the messages
CNsquared,2022-12-25,google-hangouts,🙃
bellebuddy,2022-12-25,google-hangouts,🫥
CNsquared,2022-12-25,google-hangouts,dw about that lol
CNsquared,2022-12-25,google-hangouts,just
bellebuddy,2022-12-25,google-hangouts,p
CNsquared,2022-12-25,google-hangouts,ur big
Laeloria,2022-12-25,google-hangouts,"kait, mid"
Laeloria,2022-12-25,google-hangouts,we should each make a bot of ourselves
CNsquared,2022-12-25,google-hangouts,
bellebuddy,2022-12-25,google-hangouts,HAH
bellebuddy,2022-12-25,google-hangouts,<@399016350946820097>
Laeloria,2022-12-25,google-hangouts,make ur own bot
Laeloria,2022-12-25,google-hangouts,u can do it
kp,2022-12-25,google-hangouts,You guys have to make some for yourself smh
CNsquared,2022-12-25,google-hangouts,what is kait ?
bellebuddy,2022-12-25,google-hangouts,YA GET IT
bellebuddy,2022-12-25,google-hangouts,It’s been doing this for the past hour sporadically
kp,2022-12-25,google-hangouts,fairly local sucks my ass
CNsquared,2022-12-25,google-hangouts,they angry
CNsquared,2022-12-25,google-hangouts,oh see
CNsquared,2022-12-25,google-hangouts,its an aggressive bot
kp,2022-12-25,google-hangouts,YOOOOOO
Laeloria,2022-12-25,google-hangouts,wow
bellebuddy,2022-12-25,google-hangouts,Aw dang it
KnEx,2022-12-23,google-hangouts,WHAT
bellebuddy,2022-12-23,google-hangouts,😠😠
bellebuddy,2022-12-23,google-hangouts,MATT
Laeloria,2022-12-23,google-hangouts,:)
its_ash,2022-12-23,google-hangouts,:(
Laeloria,2022-12-23,google-hangouts,you dont have to
its_ash,2022-12-23,google-hangouts,I'll find a cover
its_ash,2022-12-23,google-hangouts,I work Wednesday
kp,2022-12-23,google-hangouts,Hurray
KnEx,2022-12-23,google-hangouts,Sj on Wednesday
KnEx,2022-12-23,google-hangouts,okay new plan
kp,2022-12-23,google-hangouts,Sj Wednesday pretty plz
CNsquared,2022-12-23,google-hangouts,And sj Wednesday
CNsquared,2022-12-23,google-hangouts,Or we do bjj monday
Thew,2022-12-23,google-hangouts,Wednesday the 27th we go to in n out
KnEx,2022-12-23,google-hangouts,BLAKE THATS TACO TUESDAY THO
Thew,2022-12-23,google-hangouts,Tuesday the 27th we go to In n out
KnEx,2022-12-23,google-hangouts,Monday the 26th we go to San Jose
Laeloria,2022-12-21,google-hangouts,damn maybe i shouldve gone anyways
Hyru,2022-12-21,google-hangouts,I cometh
CNsquared,2022-12-21,google-hangouts,KAIT JOIN
Laeloria,2022-12-21,google-hangouts,smrt
KnEx,2022-12-21,google-hangouts,Join my Life360 Circle! Use my invite code QWY-FFQ. Download the app here: https://i.lf360.co/MykrFGWEVvb
kp,2022-12-21,google-hangouts,Okay cool
Laeloria,2022-12-21,google-hangouts,milk tea lab
kp,2022-12-21,google-hangouts,Plz send address
KnEx,2022-12-21,google-hangouts,taco place
kp,2022-12-21,google-hangouts,Where are you guys🙂
KnEx,2022-12-21,google-hangouts,okay target it is
CNsquared,2022-12-21,google-hangouts,I want candy
CNsquared,2022-12-21,google-hangouts,Erm im down for target
KnEx,2022-12-21,google-hangouts,taco place
KnEx,2022-12-21,google-hangouts,wanna meet at target or just go to place
KnEx,2022-12-21,google-hangouts,umm idk
CNsquared,2022-12-21,google-hangouts,Where we meat
KnEx,2022-12-21,google-hangouts,like huhhhhhh?
KnEx,2022-12-21,google-hangouts,on ygnacio
KnEx,2022-12-21,google-hangouts,right here
KnEx,2022-12-21,google-hangouts,
KnEx,2022-12-21,google-hangouts,it literally let 1 car though and turned yellow
KnEx,2022-12-21,google-hangouts,I swear to God I just witnessed a .05 second green light
Thew,2022-12-21,google-hangouts,Metric system minutes tho
Thew,2022-12-21,google-hangouts,Minutes
Laeloria,2022-12-21,google-hangouts,decades
CNsquared,2022-12-21,google-hangouts,units?
Thew,2022-12-21,google-hangouts,give me 5
Thew,2022-12-21,google-hangouts,I can drive
KnEx,2022-12-21,google-hangouts,lots of traffic
CNsquared,2022-12-21,google-hangouts,also i drive or you drive?
CNsquared,2022-12-21,google-hangouts,<@535994976656687164> when you want to go
CNsquared,2022-12-21,google-hangouts,icic
KnEx,2022-12-21,google-hangouts,nah they just on the edge
CNsquared,2022-12-21,google-hangouts,damn ig no going the other way
CNsquared,2022-12-21,google-hangouts,lamo what
KnEx,2022-12-21,google-hangouts,
KnEx,2022-12-21,google-hangouts,so wack
Laeloria,2022-12-21,google-hangouts,that went well last time
its_ash,2022-12-21,google-hangouts,Like now but Matt's picking me up
CNsquared,2022-12-21,google-hangouts,when your shift done
its_ash,2022-12-21,google-hangouts,Yay
its_ash,2022-12-21,google-hangouts,Ah the blue pfp is back
Thew,2022-12-20,google-hangouts,Yes tacos
CNsquared,2022-12-20,google-hangouts,<@535994976656687164>
Laeloria,2022-12-20,google-hangouts,truly
CNsquared,2022-12-20,google-hangouts,L
Laeloria,2022-12-20,google-hangouts,yeah
CNsquared,2022-12-20,google-hangouts,D:
CNsquared,2022-12-20,google-hangouts,you cant do today
CNsquared,2022-12-20,google-hangouts,so
CNsquared,2022-12-20,google-hangouts,well yeah
Laeloria,2022-12-20,google-hangouts,taco tuesday is once a week
Laeloria,2022-12-20,google-hangouts,same thing right
Laeloria,2022-12-20,google-hangouts,i mean
CNsquared,2022-12-20,google-hangouts,not today?
Laeloria,2022-12-20,google-hangouts,i prob wont be able to this week
KnEx,2022-12-20,google-hangouts,I'm working until 4
Hyru,2022-12-20,google-hangouts,So I’ll probably come after work
Hyru,2022-12-20,google-hangouts,I’ll be at the restaurant today
CNsquared,2022-12-20,google-hangouts,Dope dope
its_ash,2022-12-20,google-hangouts,Just need a ride from t4
its_ash,2022-12-20,google-hangouts,Lmao
kp,2022-12-20,google-hangouts,Again
kp,2022-12-20,google-hangouts,But I’ll join after
kp,2022-12-20,google-hangouts,I’m eating tacos at home for dinner
its_ash,2022-12-20,google-hangouts,I'm done at 5
its_ash,2022-12-20,google-hangouts,Sure?
its_ash,2022-12-20,google-hangouts,Uh
its_ash,2022-12-20,google-hangouts,Today?
CNsquared,2022-12-20,google-hangouts,You wanna tacos ?
Laeloria,2022-12-19,google-hangouts,nvm
Laeloria,2022-12-19,google-hangouts,wait that sounds like smoking
Laeloria,2022-12-19,google-hangouts,for new years we should inhale as much smoke as we can to help out our area
Hyru,2022-12-19,google-hangouts,like fireplaces
Hyru,2022-12-19,google-hangouts,no its just a bunch of ppl burning wood
KnEx,2022-12-19,google-hangouts,cus of like a fire?
KnEx,2022-12-19,google-hangouts,ohhhhh is that why it's foggy
Laeloria,2022-12-19,google-hangouts,good thing we couldnt see it
kp,2022-12-19,google-hangouts,I’m glad we didn’t stay out there that long the air quality is bad
its_ash,2022-12-19,google-hangouts,<@435327611980480532> be there in 3 min
Laeloria,2022-12-19,google-hangouts,ight
KnEx,2022-12-19,google-hangouts,if I can find my way
KnEx,2022-12-19,google-hangouts,<@551191555411804171> we be there in 5
KnEx,2022-12-19,google-hangouts,it's so foggy
its_ash,2022-12-19,google-hangouts,<@399016350946820097> we outside
KnEx,2022-12-19,google-hangouts,holy shit this is terrible
CNsquared,2022-12-19,google-hangouts,Aight
KnEx,2022-12-19,google-hangouts,or smthn
KnEx,2022-12-19,google-hangouts,so give me like 30 before we get to erics
KnEx,2022-12-19,google-hangouts,boutta leave rn
Hyru,2022-12-19,google-hangouts,Hella hazy out
KnEx,2022-12-19,google-hangouts,dang it got foggy
Thew,2022-12-19,google-hangouts,👌
Hyru,2022-12-19,google-hangouts,Without contract holder the hit doesn’t exist
Hyru,2022-12-19,google-hangouts,She’s called a hit on me
kp,2022-12-19,google-hangouts,WYM W
kp,2022-12-19,google-hangouts,Don’t yeet my mom
Hyru,2022-12-19,google-hangouts,W
